trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-75.35228778240284,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-198.77338645076324,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-62.897086766906114,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-119.08463981698979,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-73.80932771031883,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-122.13304263299133,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,9,-2.903075867290549,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-155.0540383817207,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-224.90796100863912,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-42.9571578690724,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-65.3911082929412,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-67.65311380904308,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-114.70494907018926,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,3,-59.54219153480202,"{0: 21, 1: 3, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-22.6798172771907,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,14,-96.06473365749089,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-92.18449675672142,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,-7.54769449736429,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,5.360693229412693,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,4.409341645699473,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,1,22.4125650567001,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,12,27.388461210590954,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-97.163540881242,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,17,14.687953450720931,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,13.890409772639991,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,13,19.948496232041748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,27.536679835311112,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,6,-52.50643849471907,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,4,-65.72795118695939,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-37.33338986523677,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
