trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",25,0,-159.42397700968462,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",30,0,-144.01193042215812,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",30,0,-235.89267242265504,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-85.2627442418185,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",25,0,-110.57362794339643,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",25,0,-78.1608545457999,"{0: 18, 1: 0, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",25,0,-66.39189970322353,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",25,0,-174.68456279221684,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",30,0,-262.123188382786,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",20,0,-148.55455402057572,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",25,0,-238.50924466357762,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,0,-41.689716847955786,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",35,0,-167.46581394129413,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",20,0,-190.15581511468278,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",20,11,-33.57474144180848,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,0,-83.69882466784028,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",25,0,-112.39700247950233,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",20,0,-68.78555061238491,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",30,0,-211.95254940182016,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-113.37974381469496,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",30,0,-267.1663574717866,"{0: 12, 1: 4, 2: 8, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",35,0,-112.93903124355943,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",20,0,-221.92329991847524,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",20,0,-134.31359471318638,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",30,0,-116.495880853077,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",30,0,-232.84733439950287,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",20,0,-131.350086771623,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",25,0,-178.3489852723457,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",25,0,-111.80083005397752,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",20,0,-167.65573050494572,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",20,0,-168.45993896412358,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",20,8,-15.96849516548351,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",20,14,-12.844634630992164,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",20,0,-100.10688817465991,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",20,0,-24.397197096081907,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.982000000000002}",25,0,-111.0772805792642,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.981500000000002}",20,0,-67.28845399139448,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
