trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",35,0,-196.7292748152929,"{0: 20, 1: 6, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",20,0,-122.01827720936978,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",25,0,-83.46959052322525,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",20,0,-111.53240825513146,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",20,0,-168.8671665908555,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",25,0,-173.81058228811182,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",30,0,-160.51895229310787,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",20,0,-130.70942752922286,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,0,-81.69721637456868,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",25,0,-176.8664536702588,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",20,0,-104.62905149128113,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,0,-79.09279964802538,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",25,0,-48.945409697513625,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",25,0,-93.40776360452156,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",30,9,-151.87102021803818,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",25,0,-134.62258813049863,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",20,0,-101.51125574110475,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",25,0,-149.26765479770313,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",20,0,-144.48731060955956,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-157.66254232249835,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-72.01740817137564,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-48.72418813921293,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-189.6612987809836,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-121.38252101022863,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-70.60003817897841,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-144.72755214810581,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,6,-109.61493005292053,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-131.69841481737419,"{0: 8, 1: 6, 2: 11, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-101.3576490664441,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-128.48591603740235,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
